code,name,details,priceCJ,pricePZ,imageUrl,offers
SD0151,SARDINAS MARINERO TOM.425G,24 / 425 GR,$707.14,$29.46,https://i.postimg.cc/yx4RhbKy/SD0151.jpg,OFERTA
SE0242,ADORABLE SERV.,24 / 100 UNI,$234.52,$9.77,https://i.postimg.cc/wv1kvz52/SE0242.jpg,OFERTA
SE0217,DELSEY SERV. 100s,48 / 100 UNI,$602.72,$12.56,https://i.postimg.cc/prH955Q0/SE0217.jpg,OFERTA
SE0258,LA PRUEBA SERV. 125s,24 / 125 UNI,$244.01,$10.17,https://i.postimg.cc/BbSSGTBG/SE0258.jpg,OFERTA
SE0257,LA PRUEBA SERV. 500s,12 / 500 UNI,$389.63,$32.47,https://i.postimg.cc/KzrGVqLN/SE0257.jpg,OFERTA
SE0248,MARLI SERV. 250s,24 / 250 UNI,$479.33,$19.97,https://i.postimg.cc/MKZHkS9j/SE0248.jpg,OFERTA
SE0254,PETALO STOALLA 230HD,12 / 1 UNI,$305.45,$25.45,https://i.postimg.cc/fRz5YxVV/SE0254.jpg,OFERTA
SE0193,REGIO STOALLA HOGAR,12 / 1 UNI,$260.17,$21.68,https://i.postimg.cc/R02J9DWx/SE0193.jpg,OFERTA
SE0163,SUAVEL SERV. 180S,24 / 180 UNI,$524.85,$21.87,https://i.postimg.cc/6pjGb3w3/SE0163.jpg,OFERTA
SE0225,SUAVEL STOALLA 120 HD,15 / 1 UNI,$229.09,$15.27,https://i.postimg.cc/DwM8dMd4/SE0225.jpg,OFERTA
SE0220,VOGUE SERV. 100s,48 / 100 UNI,$570.26,$11.88,https://i.postimg.cc/zGByhrW1/SE0220.jpg,OFERTA
SP0465,BARILLA LASAGNA COLLEZIEONE 1,12 / 250 GR,$507.63,$42.30,https://i.postimg.cc/T3BG7Mym/SP0465.jpg,OFERTA
SP0498,BARILLA MINI CONCHIGLIE,14 / 250 GR,$172.69,$12.34,https://i.postimg.cc/Hs3qdKn3/SP0498.jpg,OFERTA
SP0499,BARILLA MINI FUSILLI,14 / 250 GR,$172.69,$12.34,https://i.postimg.cc/x1CWCRbQ/SP0499.jpg,OFERTA
SP0705,BARILLA MINI TORTIGLIONI,16 / 250 GR,$197.36,$12.34,https://i.postimg.cc/Rh4YzQzj/SP0705.jpg,OFERTA
SP0405,BARILLA PA.FETTUCCIN.500G,25 / 500 GR,$503.80,$20.15,https://i.postimg.cc/50d40db1/SP0405.jpg,OFERTA
SP0395,BARILLA PASTA CODO NO. 4 500GR,12 / 500 GR,$250.19,$20.85,https://i.postimg.cc/htvPZ12F/SP0395.jpg,OFERTA
SP0245,BARILLA SPAGHET. NO. 7 500 GR,25 / 500 GR,$514.40,$20.58,https://i.postimg.cc/7YD597vD/SP0245.jpg,OFERTA
SP0452,BARILLA SPAGHET.No.5 220G,20 / 220 GR,$168.35,$8.42,https://i.postimg.cc/zXXJ3kZL/SP0452.png,OFERTA
SP0397,BARILLA SPAGHET.No.5 500G,25 / 500 GR,$503.80,$20.15,https://i.postimg.cc/FKJFNstD/SP0397.jpg,OFERTA
SP0726,KNORR ESTRELLITAS 95GR+4 GRAT,2 / 8 UNI,$243.72,$121.86,https://i.postimg.cc/9f0wRCtN/SP0726-JPG.jpg,OFERTA
SR0925,ENSUEÑO AZUL 850+150ML,12 / 1 LT,$284.68,$23.72,https://i.postimg.cc/7Yw0tjv5/SR0925.jpg,OFERTA
SR0965,ENSUEÑO COLOR TURQUESA 1 LT,12 / 1 LT,$227.48,$18.96,https://i.postimg.cc/0yJkY2tD/SR0965.jpg,OFERTA
SR0989,ENSUEÑO JARD. FRESCO 1L,12 / 1 LT,$227.45,$18.95,https://i.postimg.cc/kXL9gPn4/SR0989.jpg,OFERTA
SR0782,ENSUEÑO MAX F.PRI+150M 1L,12 / 1 LT,$284.69,$23.72,https://i.postimg.cc/6Q5HsTDG/SR0782.jpg,OFERTA
SR0906,ENSUEÑO MAX RV 1L PRE.ESP,12 / 1 LT,$284.69,$23.72,https://i.postimg.cc/hv98QqkB/SR0906.jpg,OFERTA
SR1110,ENSUEÑO NAT. ARGAN MAND +2 GRATIS,15 / 850 ML,$315.50,$21.03,https://i.postimg.cc/R0jGKFM1/SR1110-JPG.jpg,OFERTA
SR1104,PRINCESA AZUL POUCH,18 / 300 ML,$160.26,$8.90,https://i.postimg.cc/SQf5f56q/SR1104.jpg,OFERTA
SR1105,PRINCESA ROSA POUCH,18 / 300 ML,$171.79,$9.54,https://i.postimg.cc/GmVSp1CP/SR1105.jpg,OFERTA
SR0759,PRINCESA SOLEADA PRIMAVERA 750 MLS.,12 / 750 ML,$195.25,$16.27,https://i.postimg.cc/hGp9VrZX/SR0759.jpg,OFERTA
SR0981,PRINCESA SUAV. ROSA,12 / 750 ML,$220.69,$18.39,https://i.postimg.cc/63BBxVBf/SR0981.jpg,OFERTA
SR0761,PRINCESA SUAV.BEBE,12 / 750 ML,$220.69,$18.39,https://i.postimg.cc/0Q4DBNsx/SR0761.jpg,OFERTA
SR0462,SUAVITEL ANOCHECER REG,12 / 850 ML,$283.31,$23.61,https://i.postimg.cc/mg0xBYyF/SR0462.jpg,OFERTA
SR0419,SUAVITEL AP PRIMAV,12 / 450 ML,$265.61,$22.13,https://i.postimg.cc/X71SDSZL/SR0419.jpg,OFERTA
SR0963,SUAVITEL COMP. FRESCA PRIM +3 GRAT,15 / 700 ML,$290.25,$19.35,https://i.postimg.cc/kXHMRty7/SR0963.jpg,OFERTA
SR0751,SUAVITEL COMP.FRES.PRIMAV,18 / 300 ML,$274.91,$15.27,https://i.postimg.cc/25zQqJGp/SR0751.jpg,OFERTA
SR0983,SUAVITEL MOM. MAG. ABRAZOS DE AMOR,12 / 650 ML,$221.47,$18.46,https://i.postimg.cc/FzRm79df/SR0983.jpg,OFERTA
SR0416,VEL ROSITA,12 / 450 ML,$328.73,$27.39,https://i.postimg.cc/qBLdyC49/SR0416.jpg,OFERTA
SS0256,BARILLA SALSA BOLOGNESE,12 / 400 GR,$905.10,$75.43,https://i.postimg.cc/ZRfzk17J/SS0256.jpg,OFERTA
SS2203,BOTANERA CLAS. PIC.,12 / 1 KG,$311.06,$25.92,https://i.postimg.cc/T3W0Nr9g/SS2203.jpg,OFERTA
SS2201,BOTANERA CLAS. PIC.,24 / 500 GR,$384.61,$16.03,https://i.postimg.cc/MKHdVkfs/SS2201.jpg,OFERTA
SS0147,CLEMENTE J. CATSUP,24 / 225 ML,$269.13,$11.21,https://i.postimg.cc/509WRxmP/SS0147.jpg,OFERTA
SS1508,DEL MONTE SALSA TAQUERA,24 / 210 ML,$281.84,$11.74,https://i.postimg.cc/d3KHxnvJ/SS1508.jpg,OFERTA
SS1509,DEL MONTE SALSA VERDE,24 / 210 ML,$281.84,$11.74,https://i.postimg.cc/fyj2nXTm/SS1509.jpg,OFERTA
SS3803,EMBASA SALSA CATSUP,12 / 1 LT,$272.88,$22.74,https://i.postimg.cc/PJ44Fj2M/SS3803.jpg,OFERTA
SS3802,EMBASA SALSA CATSUP,24 / 380 GR,$259.88,$10.83,https://i.postimg.cc/kG9sc4F4/SS3802.jpg,OFERTA
SS0803,HERDEZ S. HABANERO200G,24 / 200 GR,$232.52,$9.69,https://i.postimg.cc/2ypMfrdR/SS0803.jpg,OFERTA
SS1603,HERDEZ S. VERDE,48 / 210 ML,$475.02,$9.90,https://i.postimg.cc/vZSPsGMq/SS1603.jpg,OFERTA
SS0784,HERDEZ S.CASERA 210G,24 / 210 GR,$204.65,$8.53,https://i.postimg.cc/nLz64dV5/SS0784.jpg,OFERTA
SS0144,HUNT S P/PASTA TRADIC.,24 / 360 GR,$601.49,$25.06,https://i.postimg.cc/KY22t73h/SS0144.jpg,OFERTA
SS0146,HUNT´S 4 QUESOS,24 / 360 GR,$601.49,$25.06,https://i.postimg.cc/TPJX0ynL/SS0146.jpg,OFERTA
SV0134,NISSIN CAMARON HABANERO,12 / 64 GR,$149.28,$12.44,https://i.postimg.cc/t475D8Ph/SV0134.jpg,OFERTA
SV0147,NISSIN CUP HOT SAU CAMARO,12 / 64 GR,$149.28,$12.44,https://i.postimg.cc/ydCy1dGP/SV0147.jpg,OFERTA
SV0146,NISSIN CUP HOT SAU POLLO,12 / 64 GR,$149.28,$12.44,https://i.postimg.cc/ZqdLz3wn/SV0146.jpg,OFERTA
SV0602,NISSIN CUPNOODLES CAM/PIC,12 / 64 GR,$149.28,$12.44,https://i.postimg.cc/7hY7hTng/SV0602.jpg,OFERTA
SV0601,NISSIN CUPNOODLES CAMARON,12 / 64 GR,$149.28,$12.44,https://i.postimg.cc/cHcwdcwx/SV0601.jpg,OFERTA
SV0603,NISSIN CUPNOODLES POLLO,12 / 64 GR,$149.28,$12.44,https://i.postimg.cc/HnZMys6F/SV0603.jpg,OFERTA
VC0110,HERDEZ CHAMPI#ONES REB.,12 / 800 GR,$873.52,$72.79,https://i.postimg.cc/SR29cbHs/VC0110.jpg,OFERTA
VC0108,HERDEZ CHAMPI#ONES REB.,24 / 186 GR,$455.81,$18.99,https://i.postimg.cc/ydr9J8Qt/VC0108.jpg,OFERTA
VC0302,HERDEZ CHAMPI#ONES REB.,24 / 380 GR,$853.83,$35.58,https://i.postimg.cc/yWCD9gFQ/VC0302.jpg,OFERTA
VC0433,HERDEZ CHICHAROS FINO,24 / 400 GR,$342.44,$14.27,https://i.postimg.cc/26JTZD2c/VC0433.jpg,OFERTA
VC0428,HERDEZ CHICHAROS FINO,48 / 200 GR,$436.55,$9.09,https://i.postimg.cc/PqSSdZZk/VC0428.jpg,OFERTA
VC0220,HERDEZ ENS VEGETALES 400 GRS.,24 / 400 GR,$369.02,$15.38,https://i.postimg.cc/R0SnXH22/VC0220.jpg,OFERTA
VC1229,HERDEZ ENSALADA LEGUMBRES,24 / 400 GR,$369.21,$15.38,https://i.postimg.cc/1RKmVv4V/VC1229.jpg,OFERTA
VC1232,HERDEZ ENSALADA LEGUMBRES,48 / 215 GR,$490.48,$10.22,https://i.postimg.cc/PrrtW183/VC1232.jpg,OFERTA
VC0917,HERDEZ GRANOS DE ELOTE,24 / 200 GR,$260.06,$10.84,https://i.postimg.cc/VNkFZ6hZ/VC0917.jpg,OFERTA
VC0921,HERDEZ GRANOS DE ELOTE,24 / 400 GR,$381.72,$15.91,https://i.postimg.cc/d0NjbFPs/VC0921.jpg,OFERTA
VD1218,SAN JUAN GEMA AZUL FINO,20 / 1 UNI,$445.94,$22.30,https://i.postimg.cc/Gt0cWkdM/VD1218.png,OFERTA
VD1244,SAN JUAN LIMONECO,20 / 1 UNI,$226.73,$11.34,https://i.postimg.cc/BQBqzLyr/VD1244.png,OFERTA
WT9918,SONRICS DIVIERTETE MAS,1 / 1 KG,$170.64,$170.64,https://i.postimg.cc/KvphqFgy/DG9964.jpg,OFERTA
WT9885,SONRICS DIVIERTETE MAS CHOCOLATE,1 / 607 GR,$133.17,$133.17,https://i.postimg.cc/15jb0HLS/DG9985.jpg,OFERTA
WT9891,SONRICS PIÑATA MAGICA,1 / 1.4 KG,$155.00,$155.00,https://i.postimg.cc/V6mhsHbS/DG9991.jpg,OFERTA
WT7106,SONRICS PIÑATA SUPRISE,1 / 2 KG,$186.70,$186.70,https://i.postimg.cc/KvphqFgy/DG9964.jpg,OFERTA
WT5258,SONRICS ROCKALETA,1 / 18 UNI,$105.63,$105.63,https://i.postimg.cc/Hx9fQCgG/DG9966.jpg,OFERTA
WT9966,SONRICS ROCKALETA,1 / 320 GR,$35.19,$35.19,https://i.postimg.cc/PJtnc54j/DG5258.jpg,OFERTA
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
