code,name,details,priceCJ,pricePZ,imageUrl,offers
AB AT0341,ATUN NAIR ACEITE 120GR,48 / 120 GR,546.46,11.38,https://i.postimg.cc/jqnt4p4G/AT0341.jpg,OFERTA
AB AT0340,ATUN NAIR AGUA 120GR,48 / 120 GR,546.46,11.38,https://i.postimg.cc/HnMmWMLp/AT0340.jpg,OFERTA
AT0305,ATUN HERDEZ AGUA 130GR,24 / 130 GR,549.56,22.9,https://i.postimg.cc/BQDZ4r8x/AT0305.jpg,DISPONIBLE
AT0306,ATUN HERDEZ ACEITE 130GR,24 / 130 GR,549.86,22.91,https://i.postimg.cc/50dxRNdF/AT0306.jpg,DISPONIBLE
AT0342,ATUN ANCLA EN AGUA 20% SOYA,24 / 120 GR,296.51,12.35,https://i.postimg.cc/4yXXXL3f/AT0342.jpg,OFERTA
AT0331,ATUN TUNY ACEITE CLASIC. 130GR,24 / 130 GR,488.89,20.37,https://i.postimg.cc/Xqx4qfZw/AT0331.jpg,DISPONIBLE
AT0330,ATUN TUNY AGUA CLASIC 130GR,24 / 130 GR,488.89,20.37,https://i.postimg.cc/W3G2LLTY/AT0330.jpg,DISPONIBLE
AT0299,ATUN EL DORADO ACEITE 130G,24 / 130 GR,305.83,12.74,https://i.postimg.cc/ry7F6VpV/AT0299.jpg,OFERTA
AT0352,ATUN MARINERO ACEITE 30% SOYA,48 / 130 GR,644.7,13.43,https://i.postimg.cc/d0VJbmHp/AT0251.jpg,DISPONIBLE
AT0294,ATUN MAZATUN AGUA C/ACEITE 285G,24 / 285 GR,906.82,37.78,https://i.postimg.cc/sX0qhgLv/AT0294.jpg,DISPONIBLE
AT0192,ATUN MAZATÚN ENS-MAYO CUP,24 / 135 GR,549.58,22.9,https://i.postimg.cc/9fqmbwSh/AT0192.jpg,DISPONIBLE
AZ0432,SPLENDA ENDULSANTE CALOR. 100s,12 / 100 UNI,918.97,76.58,https://i.postimg.cc/Cx7gKSwf/AZ0432.jpg,DISPONIBLE
AZ0447,SPLENDA ENDULSANTE CALOR. 25´S,24 / 25 UNI,532.94,22.21,https://i.postimg.cc/W3FLSZgM/AZ0447.jpg,DISPONIBLE
AZ0138,AZUCAR ESTANDAR FIVESTARS,10 / 1 KG,239.24,23.92,https://i.postimg.cc/Gh0r7XM9/AZ0138.jpg,DISPONIBLE
AZ0159,AZUCAR ESTANDAR ZULKA 1KG,10 / 1 KG,239.24,23.92,https://i.postimg.cc/Fsjv20qp/AZ0159.jpg,DISPONIBLE
BL0201,BLANCATEL CONCENTRADO,6 / 3.7 LT,217.52,36.25,https://i.postimg.cc/vBB9KYZ7/BL0201.jpg,DISPONIBLE
BL0274,CLORALEX GEL 500ML,12 / 500 ML,127.55,10.63,https://i.postimg.cc/qqKGmJ1b/BL0274.jpg,OFERTA
BL0278,CLORALEX GEL 950ML,12 / 950 ML,226.51,18.88,https://i.postimg.cc/ryRgyjq1/BL0278.jpg,OFERTA
BL0177,CLORALEX MASCOTAS 950ML,15 / 950 ML,409.11,27.27,https://i.postimg.cc/SK5qpB0V/BL0177.jpg,OFERTA
BL0228,CLORALEX MAX 600ML,15 / 600 ML,275.43,18.36,https://i.postimg.cc/yY9fjP51/BL0228.jpg,OFERTA
BL0240,CLORALEX MAX 950ML,15 / 950 ML,439.42,29.29,https://i.postimg.cc/L8pxbPKz/BL0240.jpg,OFERTA
BL0307,CLORALEX REG 1.9L+100ML,8 / 2 LT,209.24,26.15,https://i.postimg.cc/g0r8ScJV/BL0307.jpg,DISPONIBLE
BL0503,CLORALEX REG 3.7LT,6 / 3.7 LT,272.07,45.35,https://i.postimg.cc/5N3zfQQ5/BL0503.jpg,DISPONIBLE
BL0518,CLORALEX REG 10LT,1 / 10 LT,130.96,130.96,https://i.postimg.cc/FK2dTjwv/BL0518.jpg,OFERTA
